date,city,price,br,lsqft,bsqft
2006-08-27,Berkeley,787000.0,2.0,3100.0,1671.0
2006-02-26,Berkeley,812000.0,4.0,5040.0,1385.0
2006-08-06,Berkeley,700000.0,2.0,4500.0,1049.0
2006-04-30,Berkeley,731000.0,2.0,4050.0,1180.0
2006-10-01,Berkeley,750000.0,2.0,4050.0,1389.0
2006-02-05,Berkeley,525000.0,2.0,2775.0,836.0
2006-05-07,Berkeley,683000.0,3.0,5375.0,1236.0
2006-04-09,Berkeley,677000.0,2.0,2500.0,1345.0
2006-08-06,Berkeley,710000.0,4.0,3300.0,1455.0
2006-06-25,Berkeley,625000.0,2.0,3800.0,1035.0
2006-11-26,Berkeley,609000.0,3.0,9500.0,1423.0
2006-01-22,Berkeley,610000.0,2.0,4600.0,1500.0
2006-07-30,Berkeley,710000.0,2.0,4600.0,1500.0
2006-08-06,Berkeley,660000.0,2.0,3168.0,1276.0
2006-03-26,Berkeley,715000.0,5.0,3168.0,1646.0
2006-01-08,Berkeley,550000.0,4.0,3168.0,1161.0
2006-01-01,Berkeley,730000.0,2.0,3900.0,1188.0
2006-12-17,Berkeley,530000.0,2.0,4160.0,1031.0
2006-02-19,Berkeley,585000.0,2.0,3838.0,1234.0
2006-04-30,Berkeley,710000.0,2.0,5775.0,1774.0
2006-06-18,Berkeley,650000.0,2.0,2760.0,1004.0
2006-12-03,Berkeley,922500.0,4.0,4800.0,1960.0
2006-12-24,Berkeley,615000.0,2.0,2291.0,1076.0
2006-11-12,Berkeley,570000.0,2.0,2370.0,1008.0
2006-07-02,Berkeley,815000.0,4.0,5222.0,2688.0
2006-10-22,Berkeley,510000.0,2.0,4800.0,1078.0
2006-07-30,Berkeley,500000.0,2.0,3916.0,1120.0
2006-06-18,Berkeley,649000.0,2.0,3600.0,800.0
2006-11-26,Berkeley,611000.0,3.0,4120.0,1043.0
2006-12-17,Berkeley,469000.0,2.0,3600.0,800.0
2006-12-10,Berkeley,479000.0,2.0,2800.0,720.0
2006-07-23,Berkeley,590000.0,2.0,2178.0,1179.0
2006-02-05,Berkeley,1140000.0,5.0,6000.0,3367.0
2006-04-09,Berkeley,470000.0,4.0,3549.0,2128.0
2006-04-09,Berkeley,637000.0,2.0,3600.0,1036.0
2006-11-26,Berkeley,589000.0,3.0,3640.0,1278.0
2006-04-09,Berkeley,650000.0,3.0,4440.0,1156.0
2006-12-17,Berkeley,525000.0,2.0,4440.0,1032.0
2006-05-28,Berkeley,625000.0,3.0,6000.0,1128.0
2006-08-13,Berkeley,600000.0,3.0,4180.0,1174.0
2006-05-14,Berkeley,405000.0,2.0,2720.0,792.0
2006-07-09,Berkeley,510000.0,2.0,2720.0,940.0
2006-10-08,Berkeley,740000.0,4.0,3850.0,1680.0
2006-09-03,Berkeley,525000.0,2.0,3360.0,1095.0
2006-09-03,Berkeley,775000.0,3.0,7000.0,2723.0
2006-02-05,Berkeley,242000.0,5.0,4000.0,1958.0
2006-12-24,Berkeley,460000.0,2.0,3500.0,1016.0
2006-02-19,Berkeley,499000.0,2.0,4000.0,900.0
2006-11-26,Berkeley,559000.0,2.0,3500.0,904.0
2006-08-13,Berkeley,650000.0,4.0,3500.0,1951.0
2006-05-21,Berkeley,510000.0,3.0,4000.0,956.0
2006-04-09,Berkeley,615000.0,3.0,3500.0,1075.0
2006-05-14,Berkeley,655000.0,3.0,4000.0,1446.0
2006-12-03,Berkeley,560000.0,2.0,3500.0,880.0
2006-11-26,Berkeley,765000.0,5.0,4200.0,2280.0
2006-11-05,Berkeley,542000.0,2.0,3500.0,1231.0
2006-08-20,Berkeley,567000.0,2.0,4598.0,940.0
2006-04-23,Berkeley,430000.0,2.0,4400.0,948.0
2006-06-04,Berkeley,572000.0,2.0,6000.0,1097.0
2006-04-02,Berkeley,529000.0,,3000.0,1995.0
